GENESIS-Tabelle: 12621-0004
Durchschnittliche Lebenserwartung bei Geburt;;;;;;;;;;;;;;;
(Periodensterbetafel): Bundesländer, Jahre, Geschlecht;;;;;;;;;;;;;;;
Sterbetafeln;;;;;;;;;;;;;;;
Durchschnittliche Lebenserwartung bei Geburt (Jahre);;;;;;;;;;;;;;;
;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
männlich;Baden-Württemberg;77,40;77,64;78,02;78,33;78,58;78,76;78,92;79,15;79,02;79,24;79,42;79,52;79,53;79,54
männlich;Bayern;76,47;76,78;77,20;77,42;77,66;77,88;78,09;78,31;78,34;78,59;78,86;78,93;79,07;...
männlich;Berlin;75,69;75,84;76,27;76,60;76,87;77,17;77,38;77,60;77,29;77,55;77,78;77,76;77,90;78,09
männlich;Brandenburg;74,60;74,86;75,39;75,76;76,10;76,41;76,77;76,97;76,95;77,09;77,33;77,38;77,61;77,61
männlich;Bremen;74,73;75,05;75,64;75,80;76,00;76,05;76,34;76,51;76,62;76,81;76,85;76,82;77,17;77,16
männlich;Hamburg;76,18;76,41;76,65;77,03;77,28;77,50;77,57;77,63;77,61;77,85;78,18;78,29;78,49;78,48
männlich;Hessen;76,43;76,74;77,24;77,52;77,69;77,91;78,13;78,42;78,39;78,53;78,78;78,76;78,98;78,97
männlich;Mecklenburg-Vorpommern;73,84;74,03;74,53;74,85;75,13;75,27;75,67;75,86;75,91;76,16;76,50;76,54;76,71;76,72
männlich;Niedersachsen;75,75;76,04;76,47;76,72;76,79;76,97;77,23;77,42;77,51;77,59;77,77;77,84;77,98;78,04
männlich;Nordrhein-Westfalen;75,64;75,80;76,17;76,45;76,71;76,90;77,08;77,31;77,40;77,58;77,81;77,88;78,00;78,06
männlich;Rheinland-Pfalz;75,88;76,11;76,53;76,78;77,05;77,23;77,51;77,73;77,82;78,05;78,26;78,35;78,53;78,56
männlich;Saarland;74,81;75,01;75,37;75,61;75,78;75,99;76,32;76,70;76,84;76,94;77,18;77,15;77,45;77,53
männlich;Sachsen;75,43;75,58;76,09;76,42;76,76;76,94;77,14;77,29;77,30;77,44;77,58;77,58;77,76;77,82
männlich;Sachsen-Anhalt;74,02;74,21;74,55;74,87;75,09;75,25;75,47;75,71;75,81;75,98;76,18;76,17;76,32;76,22
männlich;Schleswig-Holstein;76,02;76,29;76,55;76,96;77,08;77,16;77,38;77,46;77,77;77,88;78,10;78,00;78,10;78,13
männlich;Thüringen;74,77;74,97;75,36;75,68;75,90;76,17;76,44;76,68;76,83;77,02;77,17;77,17;77,19;77,24
weiblich;Baden-Württemberg;82,56;82,69;83,02;83,19;83,33;83,40;83,52;83,64;83,64;83,78;83,93;83,90;83,98;83,96
weiblich;Bayern;81,92;82,12;82,38;82,52;82,66;82,87;83,00;83,14;83,15;83,27;83,50;83,52;83,65;...
weiblich;Berlin;81,19;81,28;81,57;81,87;82,03;82,19;82,35;82,55;82,64;82,80;82,96;83,02;83,16;83,16
weiblich;Brandenburg;81,11;81,20;81,54;81,76;82,01;82,20;82,34;82,44;82,70;82,76;82,94;82,94;83,15;83,14
weiblich;Bremen;81,03;81,24;81,51;81,74;81,92;81,88;82,02;82,05;82,29;82,22;82,32;82,34;82,42;82,55
weiblich;Hamburg;81,44;81,68;81,80;82,17;82,20;82,28;82,46;82,56;82,66;82,79;82,98;83,00;83,17;83,22
weiblich;Hessen;81,82;81,97;82,23;82,40;82,54;82,66;82,80;82,90;82,97;83,02;83,19;83,21;83,38;83,39
weiblich;Mecklenburg-Vorpommern;80,83;81,09;81,38;81,60;81,75;81,94;82,11;82,31;82,42;82,58;82,84;82,88;83,11;83,12
weiblich;Niedersachsen;81,51;81,71;81,97;82,15;82,14;82,23;82,35;82,41;82,57;82,58;82,77;82,77;82,85;82,81
weiblich;Nordrhein-Westfalen;81,16;81,26;81,53;81,73;81,85;81,95;82,06;82,20;82,42;82,41;82,55;82,52;82,67;82,68
weiblich;Rheinland-Pfalz;81,28;81,36;81,64;81,80;82,04;82,15;82,38;82,42;82,66;82,70;82,88;82,93;83,06;82,99
weiblich;Saarland;80,35;80,49;80,77;81,00;81,12;81,27;81,61;81,71;81,93;81,98;82,16;82,13;82,23;82,22
weiblich;Sachsen;81,87;82,00;82,35;82,53;82,71;82,89;83,13;83,24;83,27;83,34;83,54;83,58;83,79;83,82
weiblich;Sachsen-Anhalt;80,78;80,96;81,12;81,29;81,43;81,59;81,74;81,86;82,19;82,28;82,48;82,45;82,62;82,53
weiblich;Schleswig-Holstein;81,42;81,53;81,70;82,05;82,07;82,06;82,18;82,26;82,49;82,53;82,65;82,79;82,90;82,85
weiblich;Thüringen;81,01;81,21;81,55;81,77;81,93;82,01;82,19;82,33;82,56;82,73;82,98;83,02;83,13;83,02
__________
"Die Sterbetafel für das Jahr t (z.B. 2010) bezieht sich auf
den Zeitraum t-1/t+1 (z.B. 2009/2011)."
© Statistisches Bundesamt, Wiesbaden 2018
Stand: 30.10.2018 / 17:10:50
